Показатель,Значение
Карточек в официальном API,638
Исключено инфраструктуры и некоммерческих объектов,30
Коммерческих брендов после дедупликации,608
Карточек со статусом reconstruction,1
Дата проверки,2026-07-16
Исключенные карточки,"АВИАПАРК; АВИАПАРК Клуб; Аквариум; Бесплатный Wi-Fi; Браслеты, чтобы не потеряться; Бюро находок; ВкусВилл Фандомат; Гардероб; Где машина?; Детская коляска напрокат; Каршеринг; Кресло-коляска; Матра; Медицинский пункт; Навигационные терминалы; Парковка; Паркоматы; Пеленальная; Постамат «Шопинг налегке» (желтая зона); Постамат «Шопинг налегке» (красная зона); Постамат «Шопинг налегке» (фиолетовая зона); Пункт сбора батареек; Семейный туалет; Станция хранения скейтбордов; Стойки информации; Туалеты; Туалеты для маломобильных посетителей; Часовая башня АВИАПАРКА; Экообменник; CAN BOY"
